TITLE,COMPANY,LOCATION,SALARY
Sales Officer or Territory Incharge,Storia Foods & Beverages Pvt Ltd,,1740000.0
Customer Service Associate,Vibry Business Solutions,,252000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Learning Coordinator,GP Strategies Corporation,,
Process Associate - Accounts Receivable,Siemens AG,,
( Maintenance ) OIL AND GAS,Nitin,,480000
Personal Secretary cum Office Admin,Welworth Software Private Limited,,270000.0
Content Creator,The Backbenchers,,480000.0
Data Analytics Internship,Yulu,,240000
Sales Associate,StayAbode Ventures,,400000.0
asd,Vibry Business Solutions,,264000.0
Female Personal Secretary,One Step Ahead Global,,360000.0
Operations Executive,Doqfy Internet Pvt Limited,,198000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Reservations Executive,Niraamaya Retreats Pvt Ltd,,330000.0
Accounts Executive/Assistant,Adarsh Developers,,
Home Sales Officer B & C,Reliance Jio Infocomm Limited,,
Data Analytics Internship,Deutsche Gesellschaft FÃ¼r International,,276000
Warehouse Assistant,TRANSWORLD INTERNATIONAL WAREHOUSING SERVICES PVT...,,270000.0
Front Office Executive,Marc resources,,210000.0
Intern - Machine Learning,Merck KGaA,,
Public Relation Officer (PRO),Vaps Technosoft Pvt Ltd,,390000.0
Library Trainee,Indian Institute of Management (IIM) Bengaluru,,240000
Admission Advisor- Bangalore- Jayanagar,Orbis Hospitality Services Pvt. Ltd,,400000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Personal Assistant to MD,Bilva technologies pvt ltd,,
Networking Admin-Administrator,Wipro LTD,,
Quality Controller for Interior Company,Shree Shyam Designs Pvt Ltd,,330000.0
System Admin,ChanRe Health care,,300000.0
Deskside Support Technician,Total IT Global,,38000
Fleet Executive,AbleCold Logistics,,400000.0
Receptionist,Braceport Dentistry,,
IT Help Desk Technician,Tomia,,
Talent Acquisition,Careator Technologies,,
Clin Data Assoc III,PPD,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Accounting & Reconciliation,LKSS and Associates,,510000.0
Public Relations Executive,Maxium Media,,240000.0
Live Chat Support,G-rank Digital Services Pvt Ltd,,
Looking for Accounting freshers-Night Shift-Only for Male Ca...,Aranis Business Process Services,,1980000.0
Team member - Image Retreival,JP Morgan Chase,,
UFT_Fresher__FTE,Unitforce Technologies Conslt,,
Finance Executive,Hiveminds Innovative Market Solutions,,4200000.0
Accounts Executive,Boaats Corporate Solutions,,400000
Junior Executive,ALPHA FREIGHT CHAIN PRIVATE LIMITED,,
Billing Executive,truevalue marketing services,,270000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Administrative Coordinator,Aspect Software Inc,,
Immediate Opening for Project Coordinator For IOT company,Cattleya technosys,,300000.0
Customer Service Associate,Acko General insurance,,330000.0
Accounts Associate,Edgefinity,,
Data Entry Operator,People Hire Hr Consultancy,,180000.0
Junior Project Coordinator,Capgemini,,
Officer - Document Controller,GSK,,
Ticketing Executive,Airline Sector,,41000.0
Intern - Text Analytics,Merck KGaA,,
Customer Service Representative – Global Support,Mouser Electronics,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Account Executive,Capgemini,,
Marketing Executive,Tiny Mammoth,,360000.0
Junior Regulatory Affairs Associate,PAREXEL International,,
Accounts Payable Associate II,Conduent,,
Receptionist cum Admin,Brand Identity,,288000.0
Event Co-ordinator,evento,,258000.0
Guest Service Representative - Front Office,"Marriott International, Inc",,
Logistics Executive,F1 Info solutions and services,,275000.0
Assistant Accounting (51000150),DXC,,
FIELD OPERATION EXECUTIVE,Vibry Business Solutions,,240000
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Administrative Assistant,Arissa India,,180000.0
Costumer Relationship Executive,AbleCold Logistics,,300000.0
IT Associate,CLT India,,
Accounts Assistant,Talent Bee Consulting Pvt Ltd,,450000.0
Client Servicing Executive,Disha Communications Private Limited,,390000.0
Executive - Order Fulfillment,Multivista Global Pvt Ltd,,
"Risk _ Risk Assurance FSO, Staff",EY,,
DevOps Security Internship,Noon Academy,,360000
Store Assistant,Maan Restaurant Pvt Ltd,,300000.0
Supervisor Customer Service,Thermo Fisher Scientific,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Risk Investigator,MatchMove Pay,,
Sr. Finance Executive,UNITY 3PL Services Pvt Ltd,,300000.0
System Administrator,Wire Developers Pvt Ltd,,350000.0
Secretary,New Horizon College of Engineering,,
Accoutant/Assistant Account,Addpro Network pvt ltd,,300000.0
Claims Processing Executive,Cognizant,,
Requirement Analysis Internship,Transform Automations India Private Limited,,480000
Desktop Support Enigneer,Capgemini,,
Tell caller,autogennie,,210000.0
Helpdesk Executive,Uniservice Apartment Solutions LLP,,220000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Sr Accounts Officer,Living Aquatic Systemz Pvt Ltd,,600000.0
Junior Interior Designer,Fabmodula,,330000.0
English to Hindi translator,IAS ALLY,,150000.0
Transport Executive,JLL,,
Data entry and office assistant female required.,TaskBucket,,150000.0
System Administrator,R.V Institutions,,
Finance Executive - Accounts Payable,"Marriott International, Inc",,
System Administrator,cosmonetsolutions.com,,250000.0
Accounting: Associate 1,State Street,,
Undergraduate Intern,Intel,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
B PHARMA OPENING,MEDCUBE HEALTHCARE,,
Team Assistant,ACN Globiz,,420000.0
Data Visualization,Accenture,,
Admin (Minimum 5 yr exp.),Om made cafe,,360000
MATRIMONY CUSTOMER SUPPORT,Vibry Business Solutions,,300000
Personal Assistant/ Personal Secretary,Indian Telephone Industries Limited,,233256
Delivery Executive / Delivery Boy / Delivery professionals .,Graphite Enterprises,,330000.0
Wedding Planner,Myshaadiwale Wedding Planners,,
Ticketing Executive,Elements HR Services Pvt Ltd,,300000.0
Associate 2 - Anti Money Laundering,State Street,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Office Administrator,Get Sure Success,,
South Asia Service Parts Operations Mananger,GE Healthcare,,
Entrepreneurship Program Coordinators,I Create India,,400000
Customer Support Executive,MiniJoy,,480000.0
Transport operation 6 to 9Years Bangalore,Capgemini,,
Associate Translator- Tamil,Reverie Language Technologies,,
Return to Work Program 2020 - Bangalore,Morgan Stanley,,
Associate 2 - Investment Performance Analysis,State Street,,
Assistant Public Prosecutor cum Assistant Government Pleader,Government of Karnataka,,
VMware admin/VSphere ESXI,Capgemini,,
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Infrastructure Administrator,Infosys,,
Executive Logistics,Siva Trading Company,,162000.0
Payroll Executive,Nightingales,,
Call Center Executive Part Time,ONE POINT ONE SOLUTION,,84000.0
Associate Accounts,BananaIP Counsels,,300000.0
Front Office Executive,JLL,,
Computer Vision Internship,KoiReader Technologies,,108000.0
"Auditor, Operational Risk Originations",Ocwen Financial Corporation,,
Zoho Admin,Sinelogix Technologies,,378000.0
Order to Cash Processing-Billing/invoicing,Accenture,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
MIS Executive,Quess Corp Limited,,300000.0
Admin Executive,Simplilearn,,
Social Media Executive,Wolftain Agency Pvt. Ltd,,270000.0
Despatch Supervisor,Kickstart Cabs,,156000.0
Company Secretary ( Member for ICSI ),Celestica ( India ) Private Limited,,222000.0
Security Guard,Siddi classes private limited,,156516.0
Process Associate Trainee,Mr. Cooper,,
Vessel Operator,Cargill,,
Accounts Executive,Level Up Sports,,210000.0
Accounting Support A2-Fin,Oracle,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Transformation PMO,EY,,
CRM Executive,Sone India Group of Industries,,240000.0
Purchase Executive,Kshmata Engineering Solutions & Consultancy,,
Hospital Administrator,Lone Star Holdings,,700000.0
Technician,Accord Global Technology Solutions,,
Traffic & Shipping Coord II,"ARRIS Group, Inc.",,
"Project Coordinator ( Civil, MEP) - Laboratories",Scient Infra Pvt Ltd,,258000.0
Immediate Requirement for Purchase Officer,Ralco Synergy Pvt Ltd,,300000.0
Receptionist/Administration Assistant,Avi Solar Energy Pvt Ltd,,220000.0
Operations Executive - Bangalore,Slice,,270000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Project Assistant,National Aerospace Laboratories,,336000
Quality Controller,Intertek India Pvt Ltd,,
Executive Assistant to MD,Kailashdev Infrastructure,,
District Judge,Karnataka High Court,,756840
Admin,Technics Info Systems,,210000.0
Customer Service Assistant,Mouser Electronics,,
Executive Customer Service,Avery Dennison,,
Soft Skills Trainer,"Transact Global India Pvt.,Ltd",,360000
SERVICE ELECTRCIAIN,PROFESSIONAL DIESEL POWER ENGINEERS,,192000.0
Office Assistant,ADDCONTACT PUBLISHERS,,175000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Learning Coordinator - Associate 1,State Street,,
Recruitment-Talent Acquisition,Accenture,,
Admissions Executive,Vidyashilp Academy,,400000.0
Inventory Executive in Travel Industry -- Banglore,2COMS Consulting Pvt Ltd,,234000.0
Quality Inspection,S. J. S. Precious tools,,114000.0
E-COMMERCE PROCESS,Vibry Business Solutions,,300000
Project Co-ordinator,iBux Business Solutions,,300000.0
PCB Designer,Accord Global Technology Solutions,,
E-Commerce Assistant,Maono Technology,,330000.0
Centralized Monitor,IQVIA,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
R&A_Supervising Associate,EY,,
Guest Relations Executive,JLL,,
Production Supervisor,ZKTeco Biometrics India Pvt.Ltd.,,
Customer Support Associate,SAP,,
Company Secretary,Remidio Innovative Solutions Pvt Ltd,,450000.0
Associate Accounting,DXC,,
System Administration Executive,Avanze Group,,
Guest Service Associate - Front Office,Holiday Inn Express,,
Production Supervisor,MVM INDUSTRIES,,270000.0
Document Controller,Nesara Creationss Pvt Ltd,,222000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Data Entry for Travel industry,HSI Client- Bangalore,,
Associate - Finance,Replicon,,
Project Assistant - II,Central Manufacturing Technology Institute (CMTI),,240000
"Corporate Sales, Bangalore (Indira Nagar)",Motherhood Hospital,,450000.0
Sr.Process Associate - Accounts Payable,Siemens AG,,
Contracts Administrator 2-Fin,Oracle,,
Associate - Projects,Cognizant,,
MIS Executive- Sales,b9 beverages,,300000.0
Token Operator,Namma Metro,,204000.0
Sales Processing Associate VII,Hewlett Packard Enterprise,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
