TITLE,COMPANY,LOCATION,SALARY
Immediate Requirement for Purchase Officer,Ralco Synergy Pvt Ltd,,"₹20,000 - ₹30,000 a month"
MATRIMONY CUSTOMER SUPPORT,Vibry Business Solutions,,"₹25,000 a month"
Vessel Operator,Cargill,,
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Data Entry for Travel industry,HSI Client- Bangalore,,
Talent Researcher,Philips,,
Guest Service Associate - Food & Beverage,Holiday Inn Express,,
Customer Support Executive,Vmultiply Solutions,,"₹15,000 - ₹20,000 a month"
MIS Executive,Quess Corp Limited,,"₹2,50,000 - ₹3,50,000 a year"
Accounts Payable Associate II,Conduent,,
Accounting Support A2-Fin,Oracle,,
Admissions Executive,Vidyashilp Academy,,"₹3,00,000 - ₹5,00,000 a year"
import export accounts,ECOWOOD EXPORTS PVT LTD,,"₹20,000 - ₹25,000 a month"
Customer Service Assistant,Mouser Electronics,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Traffic & Shipping Coord II,"ARRIS Group, Inc.",,
Supervisor Customer Service,Thermo Fisher Scientific,,
Office Assistant,ADDCONTACT PUBLISHERS,,"₹1,50,000 - ₹2,00,000 a year"
Urgent Requirement for Store Keeper,Shreeji Interiors,,"₹10,000 - ₹20,000 a month"
Front Office Executive,JLL,,
Admin (Minimum 5 yr exp.),Om made cafe,,"₹30,000 a month"
Project Co-ordinator,iBux Business Solutions,,"₹20,000 - ₹30,000 a month"
"Project Coordinator ( Civil, MEP) - Laboratories",Scient Infra Pvt Ltd,,"₹18,000 - ₹25,000 a month"
Accounts Executive,Level Up Sports,,"₹15,000 - ₹20,000 a month"
Desktop Support Enigneer,Capgemini,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Associate Accounts,BananaIP Counsels,,"₹20,000 - ₹30,000 a month"
DevOps Security Internship,Noon Academy,,"₹30,000 a month"
